cleaned,bigram,trigram
klu sybrend xiaomi redmi emang okcuman main game mudah panas hpnya sy batrai begituhanya angka ajatapi mudah habis batrai nya xiaomi redmi,"['klu sybrend', 'sybrend xiaomi', 'xiaomi redmi', 'redmi emang', 'emang okcuman', 'okcuman main', 'main game', 'game mudah', 'mudah panas', 'panas hpnya', 'hpnya sy', 'sy batrai', 'batrai begituhanya', 'begituhanya angka', 'angka ajatapi', 'ajatapi mudah', 'mudah habis', 'habis batrai', 'batrai nya', 'nya xiaomi', 'xiaomi redmi']","['klu sybrend xiaomi', 'sybrend xiaomi redmi', 'xiaomi redmi emang', 'redmi emang okcuman', 'emang okcuman main', 'okcuman main game', 'main game mudah', 'game mudah panas', 'mudah panas hpnya', 'panas hpnya sy', 'hpnya sy batrai', 'sy batrai begituhanya', 'batrai begituhanya angka', 'begituhanya angka ajatapi', 'angka ajatapi mudah', 'ajatapi mudah habis', 'mudah habis batrai', 'habis batrai nya', 'batrai nya xiaomi', 'nya xiaomi redmi']"
launching android heboh bandingkan iphone ujungujungnya dibawah iphone gak laku,"['launching android', 'android heboh', 'heboh bandingkan', 'bandingkan iphone', 'iphone ujungujungnya', 'ujungujungnya dibawah', 'dibawah iphone', 'iphone gak', 'gak laku']","['launching android heboh', 'android heboh bandingkan', 'heboh bandingkan iphone', 'bandingkan iphone ujungujungnya', 'iphone ujungujungnya dibawah', 'ujungujungnya dibawah iphone', 'dibawah iphone gak', 'iphone gak laku']"
wellcome back om david,"['wellcome back', 'back om', 'om david']","['wellcome back om', 'back om david']"
jitter nyaa,['jitter nyaa'],[]
pro max lu riview boyyyy,"['pro max', 'max lu', 'lu riview', 'riview boyyyy']","['pro max lu', 'max lu riview', 'lu riview boyyyy']"
niru sih xiaomi nunjukin apple promax,"['niru sih', 'sih xiaomi', 'xiaomi nunjukin', 'nunjukin apple', 'apple promax']","['niru sih xiaomi', 'sih xiaomi nunjukin', 'xiaomi nunjukin apple', 'nunjukin apple promax']"
kemaren realme kl salah glossy cermin ya designnya bagus sih,"['kemaren realme', 'realme kl', 'kl salah', 'salah glossy', 'glossy cermin', 'cermin ya', 'ya designnya', 'designnya bagus', 'bagus sih']","['kemaren realme kl', 'realme kl salah', 'kl salah glossy', 'salah glossy cermin', 'glossy cermin ya', 'cermin ya designnya', 'ya designnya bagus', 'designnya bagus sih']"
bang review nokia pureview bang iam from the future karna sensornya inch trend foto video menarik perhatian welcome in,"['bang review', 'review nokia', 'nokia pureview', 'pureview bang', 'bang iam', 'iam from', 'from the', 'the future', 'future karna', 'karna sensornya', 'sensornya inch', 'inch trend', 'trend foto', 'foto video', 'video menarik', 'menarik perhatian', 'perhatian welcome', 'welcome in']","['bang review nokia', 'review nokia pureview', 'nokia pureview bang', 'pureview bang iam', 'bang iam from', 'iam from the', 'from the future', 'the future karna', 'future karna sensornya', 'karna sensornya inch', 'sensornya inch trend', 'inch trend foto', 'trend foto video', 'foto video menarik', 'video menarik perhatian', 'menarik perhatian welcome', 'perhatian welcome in']"
ditunggu tunggu,['ditunggu tunggu'],[]
sial,[],[]
gimana ceritanya xiaomi niiru iphone david lupa review xiaomi ultra ultra an belakangnya dikasih touchsreen doang sebelah kamera nya dpt kamera telephoto nge zoom super poco versi murah pake desain jelek gitu,"['gimana ceritanya', 'ceritanya xiaomi', 'xiaomi niiru', 'niiru iphone', 'iphone david', 'david lupa', 'lupa review', 'review xiaomi', 'xiaomi ultra', 'ultra ultra', 'ultra an', 'an belakangnya', 'belakangnya dikasih', 'dikasih touchsreen', 'touchsreen doang', 'doang sebelah', 'sebelah kamera', 'kamera nya', 'nya dpt', 'dpt kamera', 'kamera telephoto', 'telephoto nge', 'nge zoom', 'zoom super', 'super poco', 'poco versi', 'versi murah', 'murah pake', 'pake desain', 'desain jelek', 'jelek gitu']","['gimana ceritanya xiaomi', 'ceritanya xiaomi niiru', 'xiaomi niiru iphone', 'niiru iphone david', 'iphone david lupa', 'david lupa review', 'lupa review xiaomi', 'review xiaomi ultra', 'xiaomi ultra ultra', 'ultra ultra an', 'ultra an belakangnya', 'an belakangnya dikasih', 'belakangnya dikasih touchsreen', 'dikasih touchsreen doang', 'touchsreen doang sebelah', 'doang sebelah kamera', 'sebelah kamera nya', 'kamera nya dpt', 'nya dpt kamera', 'dpt kamera telephoto', 'kamera telephoto nge', 'telephoto nge zoom', 'nge zoom super', 'zoom super poco', 'super poco versi', 'poco versi murah', 'versi murah pake', 'murah pake desain', 'pake desain jelek', 'desain jelek gitu']"
review oppo find x bg,"['review oppo', 'oppo find', 'find x', 'x bg']","['review oppo find', 'oppo find x', 'find x bg']"
dirindukan hp gratisan antigorescashing hedsheet,"['dirindukan hp', 'hp gratisan', 'gratisan antigorescashing', 'antigorescashing hedsheet']","['dirindukan hp gratisan', 'hp gratisan antigorescashing', 'gratisan antigorescashing hedsheet']"
bang coba review iqoo plss,"['bang coba', 'coba review', 'review iqoo', 'iqoo plss']","['bang coba review', 'coba review iqoo', 'review iqoo plss']"
